,loss,accuracy,val_loss,val_accuracy
0,inf,0.0,inf,0.0
1,1.6772017029868231,0.42032222220632764,1.303460401640998,0.5159777777857251
2,1.1486491359922621,0.5820888888994853,1.1087042571385701,0.5960444444656372
3,0.9803306889216105,0.6476333333439297,0.9701831753306919,0.6546333333121406
4,0.8519422511630588,0.6935666666348775,0.9978948283407423,0.6504444444868299
5,0.7523889072524177,0.7299777778201633,0.860275378259023,0.6955999999682109
6,0.6668073625352647,0.7610333333121406,0.8412731036716037,0.7042555555979411
7,0.5847837258232964,0.7910555555767483,0.8343278990851508,0.7145444444762336
8,0.508413963370853,0.8178666667196486,0.8669844064606561,0.7182222222328186
9,0.43050711505677963,0.8454666666984558,0.902976684527927,0.7199000000423855
10,0.3565243641747369,0.8721222222116258,0.9242856525209215,0.7163666667196485
11,0.2850192577150133,0.8973555555449592,1.0085253994835748,0.7251222222010295
12,0.2222767919249005,0.9199333333651225,1.079296172926161,0.7200444444656372
13,0.16577071713076696,0.94044444448683,1.2516788581636218,0.7220777777777778
14,0.11894438277747896,0.9573333333545261,1.2730376341501872,0.7370666666666666
15,0.08966625235345628,0.9681000000423855,1.4591625586615669,0.7207555555237665
