,loss,loss2,accuracy,std_accuracy
0,inf,inf,0.0,0.0
1,3.1359565258026123,1.784318447113037,0.19583334028720856,0.062409356236457825
2,2.6924667358398438,1.7769111394882202,0.22777779400348663,0.055313486605882645
3,2.6043100357055664,1.7704581022262573,0.2430555373430252,0.0836828425526619
4,2.5359256267547607,1.7684818506240845,0.27638888359069824,0.08134091645479202
5,2.4501540660858154,1.7599906921386719,0.29583337903022766,0.07310405373573303
6,2.43652081489563,1.7559596300125122,0.31388890743255615,0.0721757560968399
7,2.37961483001709,1.7491507530212402,0.35138893127441406,0.07738427072763443
8,2.341315984725952,1.746561884880066,0.3222222328186035,0.07065372169017792
9,2.2780375480651855,1.7366644144058228,0.3430555760860443,0.07644211500883102
10,2.2171823978424072,1.728946328163147,0.3569444417953491,0.09245924651622772
11,2.237471580505371,1.7276321649551392,0.3500000238418579,0.09325048327445984
12,2.170438528060913,1.7206367254257202,0.37916669249534607,0.08890775591135025
13,2.18454647064209,1.7249488830566406,0.38055554032325745,0.08040757477283478
14,2.1459028720855713,1.711746335029602,0.39444446563720703,0.08379101753234863
15,2.0549123287200928,1.6990923881530762,0.41805556416511536,0.06949032098054886
16,2.1166059970855713,1.7001762390136719,0.3958333432674408,0.07310405373573303
17,2.0151095390319824,1.6850224733352661,0.45000001788139343,0.09062317758798599
18,1.9876056909561157,1.683298110961914,0.4375,0.08416254073381424
19,2.0560970306396484,1.6829919815063477,0.4069444239139557,0.07548820972442627
20,1.919073224067688,1.6743578910827637,0.46666669845581055,0.07485896348953247
21,1.9444626569747925,1.6787725687026978,0.4513889253139496,0.08104341477155685
22,1.9891281127929688,1.6656441688537598,0.4444444477558136,0.07656052708625793
23,1.861114501953125,1.6622886657714844,0.4749999940395355,0.08469896018505096
24,1.8113247156143188,1.6589235067367554,0.4750000238418579,0.10598058253526688
25,1.8193734884262085,1.6608349084854126,0.47361111640930176,0.08511383086442947
26,1.7823978662490845,1.6538934707641602,0.46805551648139954,0.07831508666276932
27,1.8212109804153442,1.653552532196045,0.4611110985279083,0.09763713926076889
28,1.7810286283493042,1.6408753395080566,0.4972222149372101,0.07544820755720139
29,1.730541706085205,1.638400912284851,0.49861112236976624,0.0819326788187027
30,1.6699665784835815,1.643040657043457,0.5013889074325562,0.06555534899234772
31,1.6909817457199097,1.6375218629837036,0.5055555105209351,0.08550315350294113
