,loss,accuracy,val_loss,val_accuracy
0,inf,0.0,inf,0.0
1,1.3351644644419352,0.5123888888676962,1.14247637324863,0.585266666677263
2,0.9553055998484293,0.6558333333015441,0.8841583836661445,0.6841888888782925
3,0.7979447280671862,0.7157111111323039,0.8497246847576565,0.7012888888676961
4,0.682377893363105,0.7571555555449592,0.8137971900833978,0.7136000000211927
5,0.5791334925439623,0.7926666666560703,0.794331637954712,0.7283777778095669
6,0.4806102453549703,0.8296333333863153,0.8107599042044745,0.7285666666454739
7,0.37459238554636637,0.8665666666348775,0.8102351566844517,0.7381888888782925
8,0.2832353108617994,0.8983444444126553,0.845234912861718,0.7447111111323039
9,0.1914258478615019,0.9329111111429003,1.0098969836764866,0.7407999999788072
10,0.12788806393411425,0.9555333333439298,1.1477730526182386,0.7328555555237665
